Sample,Group,IsQC,Batch
Control_1,Control,False,1
Control_2,Control,False,1
Control_3,Control,False,1
Control_4,Control,False,2
Control_5,Control,False,2
Control_6,Control,False,2
Mild_1,Mild,False,1
Mild_2,Mild,False,1
Mild_3,Mild,False,1
Mild_4,Mild,False,2
Mild_5,Mild,False,2
Mild_6,Mild,False,2
Moderate_1,Moderate,False,1
Moderate_2,Moderate,False,1
Moderate_3,Moderate,False,1
Moderate_4,Moderate,False,2
Moderate_5,Moderate,False,2
Moderate_6,Moderate,False,2
Severe_1,Severe,False,1
Severe_2,Severe,False,1
Severe_3,Severe,False,1
Severe_4,Severe,False,2
Severe_5,Severe,False,2
Severe_6,Severe,False,2
QC_1,QC,True,1
QC_2,QC,True,1
QC_3,QC,True,1
QC_4,QC,True,2
QC_5,QC,True,2
QC_6,QC,True,2
