Protein,Gene,HealthyControl_1,HealthyControl_2,HealthyControl_3,HealthyControl_4,HealthyControl_5,HealthyControl_6,HealthyControl_7,HealthyControl_8,HealthyControl_9,Prediabetic_1,Prediabetic_2,Prediabetic_3,Prediabetic_4,Prediabetic_5,Prediabetic_6,Prediabetic_7,Prediabetic_8,Prediabetic_9,Type2Diabetes_1,Type2Diabetes_2,Type2Diabetes_3,Type2Diabetes_4,Type2Diabetes_5,Type2Diabetes_6,Type2Diabetes_7,Type2Diabetes_8,Type2Diabetes_9,MetabolicSyndrome_1,MetabolicSyndrome_2,MetabolicSyndrome_3,MetabolicSyndrome_4,MetabolicSyndrome_5,MetabolicSyndrome_6,MetabolicSyndrome_7,MetabolicSyndrome_8,MetabolicSyndrome_9,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6,Reference_Pool
ABCC8_HUMAN,ABCC8,79842.80725129948,97857.38514660174,167510.50669532808,54536.29438243592,109218.41760793474,89222.996406047,0.0,76842.33374580179,0.0,0.0,101217.91124357338,0.0,101684.40423083006,103155.06480866643,0.0,85291.1574057018,120097.03917174094,107345.08019266099,85985.22634690108,0.0,125319.11156858076,84014.47514526777,0.0,108557.78129777077,0.0,88006.88171541614,0.0,0.0,142298.76923404177,74034.45304428841,173337.39132346466,131288.2304274055,123631.76146496389,99751.19624136368,69982.51378520235,101969.4394569862,85790.84820252676,91827.1419756856,100710.27437421955,70463.49664518549,94764.59581899703,85720.24668611007,110670.51571540035
ABCG1_HUMAN,ABCG1,50363.538078932725,77677.81774344202,73846.75903192707,54571.759516880375,68960.71474461324,76953.86836008221,0.0,52601.19765568047,91658.54159941411,71308.20991008723,52094.581148866455,44389.43482671493,62541.88212053333,81739.482845256,69260.85979328385,54470.908479592246,59402.528788322365,61697.18073924072,53405.69725698039,51762.38600867949,60540.277424355365,46446.69843131162,42444.07133756328,55191.28523165369,82066.61102433575,45554.137379877735,66565.80807921305,55489.629607271476,68243.38433603889,28062.90916819066,88482.76775627959,69106.37015244528,0.0,61001.36663468827,44873.95537282639,0.0,46997.162340690804,50358.61091096544,57124.18265945232,51052.221107577294,52265.14226048727,57380.09731931477,61807.303616132325
ABCG5_HUMAN,ABCG5,60764.76340432998,50684.78008890762,49989.58414209898,55545.738034567934,39821.80624730868,35312.81602588629,47466.72980688794,54709.394712836096,84650.40909414797,49743.69993989175,39660.158959607405,52767.57079707497,29869.09481867243,32719.26421835506,56708.6619340264,60950.43699934368,36043.91299687152,33971.794656759135,39295.98781250193,30459.624946337808,32141.500291199827,32021.831848073114,35989.733493834894,54134.00066844941,53338.87718593253,36660.38767750744,30194.464685284307,32031.599644279995,0.0,48516.94008388861,53763.93406974817,21342.797209804685,48118.53960069728,30737.843189842013,36408.52821740191,39420.688170223846,41292.99582741987,41487.135334227925,34469.3413397993,48400.97610686143,38407.12781537563,54191.1414190607,45594.425200744925
ABCG8_HUMAN,ABCG8,19300.28147940581,21492.628149692868,13940.110971841965,21818.08234408175,19191.326256892637,16152.48219725669,16775.668996024357,23592.275937891874,11976.651115192955,14010.296183934586,6809.4888217789685,0.0,23508.5699095893,14586.451565925967,18344.929675238054,13519.280851068743,13481.973778647081,12714.774213940722,53263.56653107922,43831.20191791071,0.0,0.0,47977.03015023657,50970.48848160262,50215.219947288526,67585.09876159034,41730.16815399677,10972.379285190917,9522.93470756645,6587.788514865027,5633.995150449447,9322.664646286532,7045.158833987685,10068.475772394877,0.0,7491.74081801482,26722.054490249393,14684.242942213485,15079.288502898162,20164.17305480839,22396.052916749766,20036.82635969347,22535.207553020766
ACACA_HUMAN,ACACA,258157.00218893297,185111.2773074486,0.0,0.0,0.0,164496.6329445547,231659.48796533362,0.0,279663.5186316565,0.0,128674.77759458519,224621.8883029516,131671.2778121255,0.0,0.0,145127.06451590458,128031.17733558563,0.0,179428.29487767626,0.0,167333.3274696431,161269.56354819395,0.0,219650.31084166266,203042.91794735476,0.0,0.0,154862.3304360749,0.0,215493.33358188008,0.0,106337.74503507261,151052.55127928517,0.0,0.0,237106.92761944587,126138.6961457702,158836.3146182138,159945.20831254742,217232.50182006598,170828.61559114401,166556.0176896615,172006.05999350874
ACACB_HUMAN,ACACB,0.0,0.0,52350.52413631525,60077.78428497241,35764.97647228969,0.0,0.0,0.0,0.0,0.0,40547.3107730672,0.0,46725.354956737436,0.0,0.0,50029.0241816202,0.0,59616.597911038436,42914.45621536832,0.0,61031.55269809004,0.0,41336.0344501718,0.0,0.0,0.0,40568.306604197,0.0,33005.93025428424,56895.256842654395,0.0,0.0,0.0,0.0,0.0,50639.30889555069,34328.17131803127,58832.08980901086,53508.79186686321,62021.955371334385,68347.88200190231,53136.63253665402,49327.464643960695
ACADM_HUMAN,ACADM,43034.379561921065,40946.38244424726,35880.88143136236,39980.57761890715,33687.396776401125,24616.133774608694,34293.40243634212,57974.909602224165,27671.48911202667,43950.29985833754,23813.843994044237,29455.63601507082,55246.80228610914,51839.602180950584,53968.34148621106,41333.143437893916,48602.163645313434,37327.08104511525,0.0,26200.888598349087,0.0,29373.397243037703,28154.521640265,40971.19894175165,31475.847394553657,33258.56646285005,40527.5699794653,0.0,74867.98015528555,30473.070228093482,38996.49594997495,45225.07234905526,32839.40772518591,47707.14872982608,0.0,0.0,26601.53364360583,37753.78019411121,27138.215529712634,42984.716154421294,44015.115748451186,37316.81808420376,40944.93760089608
ACADVL_HUMAN,ACADVL,9098.211951736126,12512.768606799165,12675.496818623222,12796.681250750526,13862.030317537387,13162.250524511272,15723.193544484637,19565.540872545564,8050.8368097231305,12097.586580903633,0.0,15645.1332815731,0.0,0.0,0.0,10108.1256911081,16617.70105339477,12086.900337084913,0.0,11956.788892972054,17092.215860479057,13163.655699134719,10667.902401808004,12422.211048491412,11326.923874668866,12357.89308462648,16164.302111148754,11606.556824815883,21634.743969926327,7685.069661525175,8119.2174778597955,11334.48219563331,12773.327217092163,11753.967372032454,10598.003914416937,14644.133514223822,8364.114084243389,11854.974947869941,10093.06533092183,11245.872324128863,13452.86058947675,9908.350530419462,12172.687097723398
ACOX1_HUMAN,ACOX1,0.0,347305.2896617753,0.0,275814.22784538404,0.0,367443.0528306175,0.0,0.0,0.0,0.0,647234.4228881415,0.0,1235490.0931037252,981798.6837509791,0.0,862428.9222688507,1462703.42557963,903663.1392408406,0.0,0.0,101236.39018766081,0.0,68625.46507830604,132757.74966259827,67839.56269349201,88252.85061525989,0.0,189577.54154875412,215876.61763446758,0.0,0.0,255939.92126778228,204826.14837974895,212548.3257243889,0.0,0.0,284107.70033401833,336391.89819494414,339086.7210044114,257522.59597126144,274082.2483556851,307888.3547359789,396791.0073841581
ADCY5_HUMAN,ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,26114.72038798731,0.0,0.0,0.0,12524.360257906554,26238.280051000238,0.0,18832.025938844596,0.0,0.0,0.0,16340.870067867125,23271.8668059065,0.0,0.0,17112.64959285726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22260.776485983788,0.0,0.0,0.0,19882.36623904939,18384.823728026808,15098.964896100257,16691.11734753503,16092.495704340763,18742.628894210782,19663.712721612497
