Protein,Gene,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6,Reference_Pool
ABCA1_HUMAN,ABCA1,0.0,8939.773570710604,7947.750887687598,9519.144207268533,9577.466577722027,11362.196421997283,10503.203356550623,0.0,11541.03608379254,7753.1494943172,8418.661723433952,8064.14114369165,8740.27920536611,7537.651664602517,10192.847484918053,8962.777795505395,7431.9826064476165,7957.1965303655725,9712.761918075192,10507.95501204336,12502.432671311532,14346.312997577501,9860.876116698195,7988.339271673656,6730.212129970373,9646.260474738521,8202.774420662905,8706.84951344097,8453.656633569406,9072.927436020957,10177.538588584677
ACACA_HUMAN,ACACA,59387.29773917528,56640.70237819483,49658.77006641793,45119.77560588858,53924.06694234812,57538.58078553083,75619.37721012387,59149.27029495892,67217.525002869,53819.11684955512,48559.0950392003,50186.97652539935,52025.76964529687,79821.55138494495,51280.73131510324,65778.72489395521,50657.33304019364,66703.60687460013,61452.57385723691,56657.6711268537,57651.06365081099,52578.37540790094,62018.573070138445,54178.03421737381,48263.81997106912,47886.44310746418,59525.885196590956,73507.45017969144,59413.52046035064,56981.53834532996,57546.024720737034
ACADM_HUMAN,ACADM,4979.22975128789,4230.339816098739,3848.7016774013427,4832.279274856154,4365.306546728675,5153.820829310364,4207.464101353,3406.5654851837553,3333.9276035981866,5243.630695574867,5301.155456828514,3984.6403905691386,3864.7494370503305,5096.691446544545,3467.0985695724935,3579.2951535987145,4508.091839840405,3858.136060515985,1227.075707424892,1198.2782206054544,1291.802238406791,1516.6810447021048,0.0,1352.5517102136723,3009.7262694620626,4063.5915025226323,3607.050523374609,3409.4568270020713,3588.2050606558814,3893.2972990063563,3353.9425604561634
ACTB_HUMAN,ACTB,12915.146674206428,15830.752592367819,14654.306862285239,15002.378075121871,18315.970145547457,17082.88365863629,19258.82519082587,15397.171737507117,14196.114484064332,15237.825685121872,16341.930199549153,16181.129131084055,13392.588811641788,15973.532891624509,16306.991472644411,22988.19438773332,20881.975753013827,13865.076387771376,15093.318867480468,12652.355340371678,14421.982988438933,16522.125822618927,18882.540917663824,14125.718109778436,14285.395547686412,11418.859568308982,15378.33657182524,13436.804269482283,14555.133902680112,13816.044673591115,17047.10878604507
ADIPOQ_HUMAN,ADIPOQ,19912.317844931284,20799.750663718973,35672.670126286685,21367.784678400756,21987.62839178565,34142.22251822287,40075.206908292676,21742.36783464276,24526.653951951437,27282.108437790394,33592.486731512014,22353.194116953386,24983.26271432035,29125.04399760573,27666.234465923564,24497.580937681614,25404.44964219749,21089.24963909322,25009.899450927038,24904.279660595395,26838.120124152087,0.0,27819.25938607828,30171.72292589635,26530.955551494215,27323.885526701015,26127.04770483218,25919.885268030917,23260.673014597938,27179.74224379278,27291.02743869016
AKT2_HUMAN,AKT2,54187.0688955003,50122.51396800143,41944.36239732227,35304.430674558236,33502.0064671642,47329.72318762765,69727.11357051287,72038.3324686525,51598.31227929408,0.0,71760.9110143918,56747.53728557265,88027.68797564718,98291.51468710767,95225.72652989023,90428.0443432741,93023.94024220956,90974.88827965622,124748.39889231602,152039.19039391243,82964.74487877906,117670.33971978995,125197.36178124916,127461.40611719566,37437.76166295598,30415.695818991317,41581.95815243939,51293.78447484282,31449.649601565383,45062.08720175402,76168.30299314094
APOC1_HUMAN,APOC1,44445.896875493265,38303.31799682321,42661.75600339687,54515.114310291036,48953.4372982577,58166.99174059093,53521.48082990357,47910.48158200836,58268.49074385532,47909.809497112125,50788.478482235245,42904.88366416958,45306.62065749965,40401.12888665413,52034.600472127095,37589.537637100235,50441.98440294019,43591.99977786159,53472.01135840758,50204.348633962625,58942.843755515314,50053.25329167904,35433.76795357431,44408.38597328213,37625.05639436593,41501.489761332654,56269.66420173255,49358.07464454071,40391.99963515085,38529.09598917536,52379.906478434306
APOE_HUMAN,APOE,40573.207452731614,44032.18811820199,51028.963176593796,57909.92358178827,53351.717860508805,34532.417824354015,0.0,49224.771974452415,51814.78322657239,62055.1439605677,35734.1285778135,44564.00375416301,53209.01860532768,38411.342604372294,60763.198229195026,51462.091442216784,55289.30853345492,44698.967681959395,55017.78572153837,57160.47651944023,50426.84434817731,50438.36471257405,50711.0300473525,42780.83262893782,47629.992349144515,47594.32713742435,51578.29971486531,56574.90957821473,41546.42779340983,47791.1560101043,51078.48466548624
ATF4_HUMAN,ATF4,0.0,13738.225722472305,0.0,0.0,0.0,18970.09396600404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12223.104328718538,0.0,0.0,16812.92313945454,0.0,0.0,10990.201831653687,15668.818999897949,14479.780727633437,16650.288015863774,17267.2681114927,15867.228213945673,15781.378954419935
BAX_HUMAN,BAX,14357.531309638865,0.0,12480.80593427124,13503.531127990911,14287.847386653502,0.0,0.0,15000.267236544028,0.0,0.0,15710.366556113417,10287.544305189196,11420.638109347354,11106.884249578987,0.0,0.0,15522.770544872381,13291.97298940159,14290.02070197798,16334.436579742265,0.0,0.0,16995.197629896524,14065.31625756431,12234.785863491295,12688.966997333318,11109.631685352177,12142.028334422203,13146.958316551585,15649.37032355474,14994.61956372749
