Protein,Gene,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
ABCA1_HUMAN,ABCA1,0.0,43504.96638810737,46360.75266956244,57624.38836660447,0.0,55066.06505359308,52086.858766903824,42333.331296693366,54749.52086841461,62427.60012605779,55516.53430466555,57350.33354180998,44634.29611329505,49490.98371277836,47995.99311131722,47628.71797209437,46821.81791922204,56157.759304067935,55824.964437153605,58329.548930193734,67336.82347231559,52749.6628766658,55123.82274236279,52797.00386152686,40340.22834561598,43837.511901128084,55135.69474668399,48116.26415949327,50999.89714581351,41504.669966791545
ABCB11_HUMAN,ABCB11,5218.7133388595885,4780.760614132092,5140.203077381543,5144.420010140435,3916.940578869764,5896.660266474425,4133.602700434847,4778.82273146283,4663.264705609618,5835.449696224243,5080.119470490842,5774.489029886571,5153.89510750603,0.0,4429.300851359014,4657.769358090194,5026.905548321219,5195.603201149945,0.0,6174.586563832167,5230.509027263424,4232.891803752747,6248.676113452317,3882.703312196329,5304.270240156199,4607.388323076637,6330.146463837572,5666.711410892839,4197.40925840144,5813.332690335247
ABCC8_HUMAN,ABCC8,36327.60712026774,0.0,0.0,0.0,56972.42534083504,55240.87353533056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13469.981380582269,0.0,0.0,10583.43431375096,0.0,44150.22451318826,48098.24810653964,54331.377225600496,45687.40659299264,47153.83356064805,37129.25575759602
ABCG1_HUMAN,ABCG1,6829.307999274063,6328.035913633946,0.0,0.0,0.0,7590.225646589921,6477.882029446059,0.0,0.0,0.0,7405.092676802336,0.0,6786.0075648075735,8660.489268331454,6618.653410551441,9676.078964490018,7089.968774337037,6542.164128126432,6974.4077184144435,7316.4202767021925,7830.879091167933,0.0,7551.424942218069,8230.172895832553,8489.03709968125,7899.512442514221,9863.518875873697,7034.95721046464,6735.259919970377,6161.712406019848
ABCG5_HUMAN,ABCG5,16002.228723596589,12161.309271028376,18299.27750652719,15012.662043629203,0.0,17586.86070799742,13923.1164954355,22840.17619197701,14855.27091648639,14679.114574237694,15671.505512368036,17902.210351383255,14186.918940101397,18809.91091315437,17020.82535330446,16220.365133750003,0.0,16929.28890151344,0.0,12297.258315823616,17462.659081709015,14480.853714560775,15888.11566704361,14600.646439153448,15800.047759671263,15544.097718214854,15728.248984939148,15551.238998077495,15036.813065102511,19361.31989775393
ABCG8_HUMAN,ABCG8,0.0,27351.641958138145,30729.866675230187,0.0,26928.862934013094,23259.894845596864,12793.047260625222,17683.001661649472,12770.527195486435,0.0,0.0,10506.47427389115,0.0,3381.9488345859,4180.573020953843,3950.208427734107,2623.933377867608,0.0,4616.981700376999,3933.588985121338,0.0,0.0,5046.13216835469,3785.8036136262112,20775.9656872101,27487.98548135466,32736.351234403646,26049.20772812296,26215.144198590817,25762.793201704222
ACACA_HUMAN,ACACA,5329.831477377221,10039.482594833325,9849.0164165183,0.0,7897.377674359195,7516.889181724593,7060.921388111772,9389.332365718568,8380.258036049892,6222.965519744633,6906.531447109515,7808.636397169722,6818.445152195459,8229.150782864064,10023.885129939745,10003.326984109217,8226.984182661392,6480.899462520498,8584.991610367983,6166.8533274017545,6885.952689370338,6687.297191775391,7160.9200938448985,7782.817087414523,8717.420573171814,7771.471190725699,5792.6835319349275,8142.861663617034,8366.862682926478,8412.72355263601
ACACB_HUMAN,ACACB,12029.213982095966,12974.906256724547,12452.414244936403,15172.78288389882,10051.510289584583,12393.426839759633,16296.698249113097,12387.376281412578,16313.325896574108,15040.226377215804,10003.42065013182,11663.840992009493,17767.495928934943,10270.822263249758,12126.381128605968,13498.481715083253,13821.811707156083,0.0,11462.686696320676,13543.53313782704,14902.185571621194,12671.695841224553,0.0,12386.887241939845,11060.69455848475,13249.895116123069,15632.832548289516,12282.536597919227,14683.52305006322,9794.35998758369
ACADM_HUMAN,ACADM,8469.676130891405,13527.937968137907,10918.770539390403,11956.836875664969,8960.522835525959,9706.692588615957,13377.437008833542,11128.124208846464,12335.49351721209,11245.615422763454,13361.880534305796,10304.526140738379,7922.459806670327,9695.504125477088,12168.331769945817,11653.745287210446,10760.05493814286,0.0,10224.722762919224,9395.784981296625,0.0,10087.752800259603,11603.849454042587,8998.051184302096,8945.465851005914,10141.262862759873,15643.091576834217,12031.372600863215,10744.49633191803,10534.614912087138
ACADVL_HUMAN,ACADVL,26225.888437842237,25853.915948704038,28219.791398965455,34428.30839355604,24118.868578096808,37764.55943554641,26143.99488482964,36132.352350470486,31308.309797267822,37814.14378758983,28562.70581373365,30845.714096816468,44753.42242135107,36224.679013235705,71438.49145814148,53088.071678226916,50445.38751238244,47271.48619315988,58442.81094337021,0.0,56230.09425289776,52248.25739563416,46199.350311038164,52635.57423378002,31570.340574364778,26647.199026172362,32451.393885339105,29559.947894434557,35778.047399227995,26263.711148543625
ACE_HUMAN,ACE,0.0,0.0,0.0,0.0,0.0,15843.782875196814,19110.415570514422,25466.499743408436,22176.402734862135,25139.224544474408,18967.355530497793,19821.447608036084,15896.305225030075,20468.31120410594,23216.74192160284,0.0,20791.414032888497,0.0,4505.029286772211,5128.979656060739,0.0,0.0,5697.125349999889,6099.377441567682,19063.291506534137,17211.59478570345,14598.069040639726,21251.815324944717,18342.483269270615,20746.837553566114
ACOX1_HUMAN,ACOX1,17946.828827442827,19123.230860189335,0.0,0.0,23159.197599839717,17629.186817237874,18039.580292784052,18665.120472871375,21180.547238493687,0.0,23591.65244048779,15167.394299365353,19332.647285538285,0.0,0.0,20968.217021635224,22475.10396473913,0.0,0.0,19581.71574277696,19785.686767705058,22900.251293706715,19077.213109183365,18432.390539814696,22614.14400478373,21693.767650671853,23249.4748960714,16733.528289184207,23467.87361147491,19339.065245565067
ACTB_HUMAN,ACTB,0.0,0.0,127552.82017572758,103129.97665151392,0.0,0.0,0.0,131681.45779062202,117586.64234148455,0.0,86876.20262522608,154208.1612099347,110682.99599436451,111149.1831971099,117045.5662824579,0.0,118772.95339706168,0.0,117125.19621212348,0.0,0.0,0.0,95561.89045208332,107531.96414192209,126822.51248353842,97565.42186633022,156335.69805684523,125309.38961139368,115010.03297312958,119718.78010550578
ADCY5_HUMAN,ADCY5,48707.55568237949,42605.56638348055,28494.234017285446,35584.23630558241,43488.213955401945,33348.81552931073,39978.053784991724,26943.242475223862,34688.0440555039,38522.33327673107,42250.46972684279,35243.08415748536,43540.711767712775,30305.620763654708,36842.807061849824,38952.630870851244,29929.780536198068,0.0,39585.37611791166,32090.925026762692,41169.29521792408,33418.319766944,34360.06113358267,30844.84687908446,35889.20389249026,27243.895383494633,39136.018102707596,50024.8844776496,35436.75146337015,26812.28117296436
ADIPOQ_HUMAN,ADIPOQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35785.86551660056,36303.369002809,32889.17663231864,0.0,30798.877313649144,0.0,0.0,0.0,38797.840305242884,0.0,0.0,33132.05188029243,0.0,0.0,0.0,0.0,0.0,34747.33196875843,51478.35688027166,32503.016606915753,27069.150401647246,33120.58919406928,34307.15248186497
ADIPOR1_HUMAN,ADIPOR1,52119.12126254739,73204.92954173627,0.0,53305.428168056416,59848.49441193413,54908.14841349478,54255.150709656395,0.0,66891.59533523204,63836.979380473495,0.0,62254.54106441506,0.0,62150.5967367297,63566.54928549884,66169.97963149563,71250.46676230685,59114.1759374323,0.0,0.0,60071.029984596746,0.0,59328.72061476,0.0,56608.207474231975,73333.71269970639,77843.81684495445,67693.43468091851,88237.71245409588,48097.113072970285
ADIPOR2_HUMAN,ADIPOR2,127790.36315373122,156462.9851569711,112244.21940913523,138272.56957107698,143340.76760564867,136612.49151384056,140850.0147124903,161085.95195024653,166833.89640492472,114754.7853456413,116295.65149507273,151581.16529917225,118864.09431858092,188881.51422018715,139636.6548242944,146804.31574225167,138108.97860926503,134203.06005623704,127059.74864697925,182678.8092743466,149788.43350890107,104783.61534664108,128898.98627274172,153562.7604903707,151030.2624418161,170505.0655535203,147649.2270993977,136504.07203560258,138143.79575951086,148153.72988886767
AGT_HUMAN,AGT,96746.1301177994,81003.13544978872,0.0,97118.49546897528,91109.90665458918,87772.4449664581,101127.94324632127,79783.03294846315,97629.65980860058,0.0,89068.59240440345,87966.89910036614,76090.0584809415,84391.08440023697,80742.3629548369,103592.53234824426,85749.63404314373,85437.88715114933,104859.17998365426,88140.42424188099,96858.62485561868,84486.15687370698,94490.84757339495,0.0,108137.0667290803,92320.66937327044,72235.31351828536,82882.64020347691,73770.96007917932,96679.45971515433
AGTR1_HUMAN,AGTR1,8629.193067475637,7970.739409706446,7109.390991809744,6464.80889197156,7616.0803837924,6939.332256137011,3620.123088818007,2969.859369372474,3372.170000861835,2930.1359524270906,0.0,2703.754788418713,1090.7305968012784,1254.9499089028002,1479.2058887553535,928.0959805498906,950.6316228862358,1234.437028097458,1457.913725793151,0.0,1280.8767283309026,980.2341669870575,1196.4645336608182,1242.0166470175166,7917.7792638398705,8027.330478783104,8587.256951742529,5322.480070805485,5649.780887028485,6415.7230825431225
